entry_id,organisation,category,source_name,source_type,source_url,verification_status,last_checked
KMC-HOSP-0028,NORVIC INTERNATIONAL HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0029,OM HOSPITAL & RESEARCH CENTER,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0030,OM SAIBABA MEMORIAL HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0031,Overseas Friendship International Hospital,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0032,PEOPLES DENTAL COLLEGE AND GENERAL HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0033,PRIMERA HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0034,SAHID MEMORIAL HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0035,SAMATA HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0036,SILVERLINE HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0037,STUPA COMMUNITY HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0038,Swacon International Hospital,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0039,VALLEY HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0040,VAYODHA HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0041,BUDDHAMAI CENTRE,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0042,DIRGHAYU GURU HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0043,KATHMANDU VALLEY HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0044,MARK HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0045,MOTHERLAND HOSPITAL PVT LTD,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0046,NEPAL BHARAT MAITRI HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0047,NEPAL SKIN HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0048,SPARK HEALTH HOME,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0049,TILGANGA EYE HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0050,VENUS HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0051,YETI HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0052,CAPITAL HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0053,CIWEC Hospital,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0054,Anamiwa Health And Wellness Center Pvt. Ltd,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0055,ASG Eye Care And Health Services,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HEALTH-UHPC-01,Urban Health Promotion Center 1,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-02,Urban Health Promotion Center 2,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
KMC-HEALTH-UHPC-03,Urban Health Promotion Center 3,Health & Ambulance,Kathmandu Metropolitan City Clinics Directory,Official Municipality,https://new.kathmandu.gov.np/en/clinics,Verified,2026-06-28
